features,coefs,probs
maybe,-0.4649309281734635,0.38581672450457694
work,-0.4629976233846044,0.3862749456312529
always,-0.44242918854610586,0.3911622947151245
edit,-0.4390251964135868,0.3919732699313603
wrong,-0.43693078220456993,0.39247254492209066
close,-0.42678693011646945,0.39489384341949857
thanks,-0.42257920574105523,0.3958997338811297
doe,-0.41945404497191807,0.39664739975646196
use,-0.4179747910845648,0.39700146626013044
probably,-0.4156821388115198,0.39755043666623024
running,-0.40819135716617105,0.3993458789609076
like,-0.40149346899209626,0.40095357085832645
put,-0.39325271505926096,0.4029345216131276
version,-0.38443895490893437,0.40505672281432104
anyone,-0.3644503870402311,0.40988268124335697
really,-0.33195364749172235,0.41776534669546067
lot,-0.33031155989423905,0.41816481776813336
either,-0.3285790038492242,0.4185864135267524
night,-0.3244275668208796,0.419597096487404
anything,-0.3148532559520948,0.421930558336412
public,-0.31361124018858055,0.42223352173020234
way,-0.29982544157635543,0.42560015600028295
reason,-0.2936700537052033,0.4271056155098961
getting,-0.2870143563246216,0.4287349586816147
american,-0.286470553914773,0.4288681526299825
guy,-0.2760102584098556,0.43143218454843996
much,-0.27297671253749944,0.43217646290496803
seems,-0.2725219705972467,0.43228806000244824
writing,-0.2648850466478588,0.43416323696586584
far,-0.26110345660885936,0.4350924734940774
vote,-0.2570765107031745,0.43608250193461856
something,-0.2472801626630639,0.43849305659841414
long,-0.2454858673786106,0.4389348910567299
pretty,-0.24245715315248753,0.43968091310240426
around,-0.24014854629117083,0.4402497441592586
away,-0.2249361488463136,0.44400187196360563
think,-0.22256729646740553,0.44458673414315086
enough,-0.21826025746191519,0.44565052081758993
whole,-0.21698090722996202,0.4459666012811711
www,-0.21218754341193147,0.4471512520498445
kind,-0.2108008038332191,0.4474940888652201
set,-0.21033775309169722,0.44760857776108826
first,-0.20939966590283138,0.4478405360224586
seen,-0.19954410679685633,0.4502788463724259
see,-0.1960677737252882,0.45113948336566967
people,-0.1837642695363909,0.45418778068881915
character,-0.18049430938653957,0.45499852859752177
believe,-0.17210028899455151,0.45708080903366743
ha,-0.16454233426023365,0.4589569751964388
though,-0.15857622490760742,0.4604388109025895
since,-0.13292714815908843,0.4668170594248431
go,-0.13078591174170087,0.46735004846418804
com,-0.12519255043906605,0.4687426768537125
understand,-0.1224001759224681,0.46943810252278895
saw,-0.11687040346703043,0.4708156099546807
came,-0.1137787670372565,0.4715859547195941
series,-0.11004566953177972,0.47251631275479666
already,-0.10588666072374217,0.47355304044542273
comment,-0.10507730749659297,0.4737548169648357
talking,-0.0951010123610389,0.4762426497352928
bad,-0.08468009528555837,0.4788426174708277
mean,-0.07272444434394652,0.4818268977678581
someone,-0.06509190894698375,0.483732765988093
done,-0.06490385194219112,0.483779730618635
remember,-0.05847487615877136,0.48538544503222814
saying,-0.04297414642106843,0.48925811649936707
service,-0.04282625487560798,0.48929507237945546
might,-0.042748392821354494,0.4893145289865871
feel,-0.04181866285271687,0.48954685761419536
